id,user_id,category,limit,period
B0001,U001,Food,5000.0,monthly
B0002,U001,Shopping,7000.0,monthly
B0003,U001,Transport,5000.0,monthly
B0004,U001,Bills,5000.0,monthly
B0005,U001,Entertainment,3000.0,monthly
B0006,U001,Subscriptions,2500.0,monthly
B0007,U001,Healthcare,2000.0,monthly
B0008,U001,Education,3000.0,monthly
B0009,U002,Food,5000.0,monthly
B0010,U002,Shopping,7000.0,monthly
B0011,U002,Transport,5000.0,monthly
B0012,U002,Bills,5000.0,monthly
B0013,U002,Entertainment,3000.0,monthly
B0014,U002,Subscriptions,2500.0,monthly
B0015,U002,Healthcare,2000.0,monthly
B0016,U002,Education,3000.0,monthly
B0017,U003,Food,5000.0,monthly
B0018,U003,Shopping,7000.0,monthly
B0019,U003,Transport,5000.0,monthly
B0020,U003,Bills,5000.0,monthly
B0021,U003,Entertainment,3000.0,monthly
B0022,U003,Subscriptions,2500.0,monthly
B0023,U003,Healthcare,2000.0,monthly
B0024,U003,Education,3000.0,monthly
B0025,U004,Food,5000.0,monthly
B0026,U004,Shopping,7000.0,monthly
B0027,U004,Transport,5000.0,monthly
B0028,U004,Bills,5000.0,monthly
B0029,U004,Entertainment,3000.0,monthly
B0030,U004,Subscriptions,2500.0,monthly
B0031,U004,Healthcare,2000.0,monthly
B0032,U004,Education,3000.0,monthly
B0033,U005,Food,5000.0,monthly
B0034,U005,Shopping,7000.0,monthly
B0035,U005,Transport,5000.0,monthly
B0036,U005,Bills,5000.0,monthly
B0037,U005,Entertainment,3000.0,monthly
B0038,U005,Subscriptions,2500.0,monthly
B0039,U005,Healthcare,2000.0,monthly
B0040,U005,Education,3000.0,monthly
