transaction_id,user_id,date,description,amount,type,category,merchant,payment_method
U001-T00001,U001,2026-07-26,SALARY CREDIT - TECH CORP,50000.0,income,Salary,TechCorp Solutions,NEFT
U001-T00002,U001,2026-08-26,SALARY CREDIT - TECH CORP,50000.0,income,Salary,TechCorp Solutions,NEFT
U001-T00003,U001,2026-09-26,SALARY CREDIT - TECH CORP,50000.0,income,Salary,TechCorp Solutions,NEFT
U001-T00004,U001,2026-07-01,HOUSE RENT,10000.0,expense,Rent,Landlord Transfer,UPI
U001-T00005,U001,2026-08-01,HOUSE RENT,10000.0,expense,Rent,Landlord Transfer,UPI
U001-T00006,U001,2026-09-01,HOUSE RENT,10000.0,expense,Rent,Landlord Transfer,UPI
U001-T00007,U001,2026-07-21,NETFLIX PREMIUM,649.0,expense,Subscriptions,Netflix,Credit Card
U001-T00008,U001,2026-08-21,NETFLIX PREMIUM,649.0,expense,Subscriptions,Netflix,Credit Card
U001-T00009,U001,2026-09-21,NETFLIX PREMIUM,649.0,expense,Subscriptions,Netflix,Credit Card
U001-T00010,U001,2026-07-06,CULT.FIT GYM MEMBERSHIP,1600.0,expense,Healthcare,Cult.Fit,Auto Debit
U001-T00011,U001,2026-08-06,CULT.FIT GYM MEMBERSHIP,1600.0,expense,Healthcare,Cult.Fit,Auto Debit
U001-T00012,U001,2026-09-06,CULT.FIT GYM MEMBERSHIP,1600.0,expense,Healthcare,Cult.Fit,Auto Debit
U001-T00013,U001,2026-07-12,AIRTEL FIBER BROADBAND,1200.0,expense,Bills,Airtel,UPI AutoPay
U001-T00014,U001,2026-08-12,AIRTEL FIBER BROADBAND,1200.0,expense,Bills,Airtel,UPI AutoPay
U001-T00015,U001,2026-09-12,AIRTEL FIBER BROADBAND,1200.0,expense,Bills,Airtel,UPI AutoPay
U001-T00016,U001,2026-09-27,AMAZON ELECTRONICS,4500.0,expense,Shopping,Amazon India,Credit Card
U001-T00017,U001,2026-09-23,MYNTRA FASHION,2400.0,expense,Shopping,Myntra,UPI
U001-T00018,U001,2026-09-20,BESCOM ELECTRICITY,1600.0,expense,Bills,BESCOM,NetBanking
U001-T00019,U001,2026-09-17,PVR INOX CINEMAS,1100.0,expense,Entertainment,PVR,Credit Card
U001-T00020,U001,2026-09-16,UDEMY AI COURSE,1299.0,expense,Education,Udemy,Debit Card
U001-T00021,U001,2026-09-18,APOLLO PHARMACY,950.0,expense,Healthcare,Apollo,UPI
U001-T00022,U001,2026-09-28,SWIGGY GOURMET,450.0,expense,Food,Swiggy,UPI
U001-T00023,U001,2026-09-24,ZOMATO DINING,1280.0,expense,Food,Zomato,Credit Card
U001-T00024,U001,2026-09-25,UBER PREMIER,620.0,expense,Transport,Uber,UPI
U001-T00025,U001,2026-09-11,SPOTIFY FAMILY,119.0,expense,Subscriptions,Spotify,UPI
U001-T00026,U001,2026-08-24,AMAZON HOME ESSENTIALS,2200.0,expense,Shopping,Amazon India,Credit Card
U001-T00027,U001,2026-08-14,MYNTRA ACCESSORIES,1500.0,expense,Shopping,Myntra,UPI
U001-T00028,U001,2026-08-20,BESCOM ELECTRICITY,1450.0,expense,Bills,BESCOM,NetBanking
U001-T00029,U001,2026-08-15,BOOKMYSHOW MOVIE,800.0,expense,Entertainment,BookMyShow,Debit Card
U001-T00030,U001,2026-08-10,COURSERA PYTHON COURSE,799.0,expense,Education,Coursera,Debit Card
U001-T00031,U001,2026-08-18,MEDPLUS PHARMACY,850.0,expense,Healthcare,MedPlus,UPI
U001-T00032,U001,2026-08-25,UBER INTERCITY,520.0,expense,Transport,Uber,UPI
U001-T00033,U001,2026-08-28,BARBEQUE NATION,850.0,expense,Food,Barbeque Nation,Credit Card
U001-T00034,U001,2026-08-11,SPOTIFY FAMILY,119.0,expense,Subscriptions,Spotify,UPI
